"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Leishmania orientalis",19.6580343754885,-25.0557970296799,3.03408498805198,-8.2581065225094,1.48001446174495e-16,2.53879403822404e-15
"Tardibacter chloracetimidivorans",89.7857942521779,-24.6656408618353,3.1052802934444,-7.94312864893621,1.97144284746628e-15,3.25653151840726e-14
"Trichlorobacter lovleyi",27.4831546089143,23.4755265502071,3.02314536466996,7.76526554910466,8.14743423581394e-15,1.29776988184751e-13
"Streptomyces sp. NBC_01217",2.42967279849625,24.1231330309345,3.10924075344129,7.75852851029151,8.59204304635333e-15,1.32139696505986e-13
"Nocardioides yefusunii",50.4539542025189,-23.7949507350085,3.1068193952372,-7.65894238058592,1.87470477348409e-14,2.78706109657968e-13
"Methanocella sp. MCL-LM",31.6239888119372,23.0575449322532,3.02598395286733,7.61985036649141,2.53969950533414e-14,3.65389025606138e-13
"Roseateles depolymerans",26.7770823062901,23.0043927603569,3.02320134337859,7.60928239554441,2.75621937621081e-14,3.84148075559382e-13
"Aquabacter sp. L1I39",21.6171071515223,22.8051072346907,3.02376336956662,7.5419616046077,4.62954070704151e-14,6.25689441012277e-13
"Neisseria sp. oral taxon 014",23.4887830367312,23.3560963489333,3.10573350154021,7.52031567980655,5.4644140585243e-14,7.16802550029952e-13
"Streptomyces sp. NBC_00354",37.6129678623989,-23.2964829115023,3.10684094334642,-7.49844724474671,6.45782330380171e-14,8.2291119814159e-13
"Streptomyces cyaneofuscatus",35.086570485018,23.2577758360902,3.10573430924111,7.48865598930556,6.9582454411342e-14,8.62049296318293e-13
"Rhodopseudomonas boonkerdii",35.4896551604892,-23.203807718686,3.10684601115941,-7.46860566482562,8.10490204549631e-14,9.76969273592258e-13
"Saccharopolyspora rosea",2.15970915421889,23.0078925407035,3.10962988447322,7.39891671854099,1.37299922489565e-13,1.6114675113249e-12
"Yamadazyma tenuis",31.9508006573066,-22.9583359086823,3.10685599277526,-7.38957195379187,1.47302238500589e-13,1.68453329157084e-12
"Leishmania martiniquensis",35.4308873672246,-22.0363649378643,3.0229262866102,-7.28974604358448,3.10539823620148e-13,3.46251903336465e-12
"Humitalea sp. 24SJ18S-53",2202.844665233,20.9957347590002,3.00053691570914,6.99732592826247,2.60893892532936e-12,2.83801648950462e-11
"Hydrocarboniphaga effusa",13.6498673694189,-21.6001532041584,3.10698903173598,-6.95211762369486,3.5984316672635e-12,3.82119172285601e-11
"Agrococcus sp. SL85",1.943738238797,21.1469046119268,3.11001119067646,6.79962331818077,1.04893044944586e-11,1.0879604196578e-10
"Shewanella marisflavi",1279.07489810891,14.1111348236234,2.15335035974197,6.55310677140077,5.63521939812317e-11,5.71206329900667e-10
"Microbulbifer elongatus",1.83575278108606,19.0651679557713,3.11023302665835,6.12981978917991,8.79786686608812e-10,8.71966360505623e-09
"Leifsonia sp. WHRI 6310E",358.151232406817,12.1103945830282,2.03731546343786,5.94429031751057,2.77657129358612e-09,2.69206694986829e-08
"Cryptococcus tetragattii",5.50725834325817,18.1943120589737,3.10740323895827,5.8551499949756,4.76579691485754e-09,4.52243707239673e-08
"Micromonospora sp. NBC_00860",4.26542557958231,17.8915418040156,3.10784381957458,5.75689862255197,8.5673325440913e-09,7.96047982221817e-08
"Mycobacteroides abscessus",4.04945466416042,17.8310290634179,3.10794617942929,5.73723868882832,9.62325909987599e-09,8.75912971131569e-08
"Streptomyces sp. R35",4.15744012187137,17.7549854559364,3.1078932754592,5.71286845534074,1.11087549842161e-08,9.90900944592074e-08
"Kitasatospora sp. NBC_01539",3.45553464675023,17.6418455473191,3.10828883655488,5.67574201594234,1.38088758867433e-08,1.20759973440931e-07
"Streptomyces tubercidicus",13.0122476541688,17.5095879045452,3.10646628164431,5.63649700883829,1.73544048839678e-08,1.4884739573557e-07
"Streptomyces coelicoflavus",12.4183276367586,17.4543126106067,3.10650333910551,5.61863635904944,1.92470462166584e-08,1.61965709672258e-07
"Tardiphaga sp. 42S5",244.194061770719,11.5631872989238,2.11502437978001,5.46716501685268,4.57290301530225e-08,3.77687915708297e-07
"Streptomyces huangiella",153.074722275437,10.8041051816659,2.01340106458539,5.36609688536683,8.04587338793063e-08,6.52447187457647e-07
"Actinospongiicola halichondriae",104.268239989464,10.4356053423562,2.00082885006629,5.21564117890963,1.83182477219426e-07,1.45891758642615e-06
